mode: set
fluxcore/translate/anthropic.go:11.81,13.59 2 1
fluxcore/translate/anthropic.go:148.51,149.28 1 1
fluxcore/translate/anthropic.go:149.28,150.41 1 1
fluxcore/translate/anthropic.go:150.41,152.7 1 1
fluxcore/translate/anthropic.go:156.3,162.56 2 1
fluxcore/translate/anthropic.go:162.56,164.4 1 1
fluxcore/translate/anthropic.go:168.2,168.60 1 1
fluxcore/translate/anthropic.go:168.60,170.53 2 1
fluxcore/translate/anthropic.go:170.53,172.4 1 1
fluxcore/translate/anthropic.go:173.3,173.54 1 1
fluxcore/translate/anthropic.go:173.54,175.4 1 1
fluxcore/translate/anthropic.go:176.3,176.29 1 1
fluxcore/translate/anthropic.go:179.2,179.18 1 1
fluxcore/translate/anthropic.go:183.80,186.27 3 1
fluxcore/translate/anthropic.go:186.27,187.53 1 1
fluxcore/translate/anthropic.go:187.53,188.24 1 1
fluxcore/translate/anthropic.go:188.24,189.40 1 1
fluxcore/translate/anthropic.go:189.40,191.6 1 1
fluxcore/translate/anthropic.go:194.3,194.46 1 1
fluxcore/translate/anthropic.go:197.2,211.23 2 1
fluxcore/translate/anthropic.go:211.23,216.3 1 1
fluxcore/translate/anthropic.go:218.2,218.26 1 1
fluxcore/translate/anthropic.go:231.67,232.29 1 1
fluxcore/translate/anthropic.go:232.29,234.3 1 0
fluxcore/translate/anthropic.go:236.2,240.29 3 1
fluxcore/translate/anthropic.go:240.29,251.3 3 0
fluxcore/translate/anthropic.go:254.2,254.35 1 1
fluxcore/translate/anthropic.go:254.35,256.42 2 1
fluxcore/translate/anthropic.go:256.42,257.24 1 1
fluxcore/translate/anthropic.go:257.24,258.37 1 1
fluxcore/translate/anthropic.go:258.37,260.6 1 1
fluxcore/translate/anthropic.go:263.3,263.17 1 1
fluxcore/translate/anthropic.go:263.17,274.4 3 1
fluxcore/translate/anthropic.go:278.2,278.32 1 1
fluxcore/translate/anthropic.go:278.32,285.25 2 0
fluxcore/translate/anthropic.go:285.25,289.4 1 0
fluxcore/translate/anthropic.go:290.3,291.78 2 0
fluxcore/translate/anthropic.go:294.2,294.15 1 1
fluxcore/translate/anthropic.go:298.50,300.53 2 1
fluxcore/translate/anthropic.go:300.53,302.3 1 0
fluxcore/translate/anthropic.go:304.2,304.20 1 1
fluxcore/translate/anthropic.go:305.29,307.52 2 1
fluxcore/translate/anthropic.go:307.52,309.4 1 1
fluxcore/translate/anthropic.go:310.3,324.50 3 1
fluxcore/translate/anthropic.go:326.23,328.56 2 0
fluxcore/translate/anthropic.go:328.56,330.4 1 0
fluxcore/translate/anthropic.go:331.3,342.25 2 0
fluxcore/translate/anthropic.go:342.25,346.4 1 0
fluxcore/translate/anthropic.go:347.3,348.50 2 0
fluxcore/translate/anthropic.go:350.23,352.13 1 0
fluxcore/translate/anthropic.go:354.10,355.13 1 0
fluxcore/translate/cohere.go:10.13,12.2 1 1
fluxcore/translate/cohere.go:69.78,71.59 2 1
fluxcore/translate/cohere.go:71.59,73.3 1 0
fluxcore/translate/cohere.go:75.2,78.54 2 1
fluxcore/translate/cohere.go:78.54,80.3 1 1
fluxcore/translate/cohere.go:81.2,81.50 1 1
fluxcore/translate/cohere.go:81.50,83.3 1 1
fluxcore/translate/cohere.go:84.2,84.37 1 1
fluxcore/translate/cohere.go:84.37,86.3 1 1
fluxcore/translate/cohere.go:87.2,87.44 1 1
fluxcore/translate/cohere.go:87.44,89.3 1 1
fluxcore/translate/cohere.go:92.2,92.68 1 1
fluxcore/translate/cohere.go:92.68,97.3 1 1
fluxcore/translate/cohere.go:100.2,100.64 1 1
fluxcore/translate/cohere.go:100.64,101.33 1 1
fluxcore/translate/cohere.go:101.33,103.11 2 1
fluxcore/translate/cohere.go:103.11,104.13 1 0
fluxcore/translate/cohere.go:107.4,109.22 2 1
fluxcore/translate/cohere.go:109.22,111.5 1 1
fluxcore/translate/cohere.go:111.10,111.32 1 1
fluxcore/translate/cohere.go:111.32,113.5 1 1
fluxcore/translate/cohere.go:115.4,116.21 2 1
fluxcore/translate/cohere.go:116.21,121.5 1 1
fluxcore/translate/cohere.go:126.2,126.71 1 1
fluxcore/translate/cohere.go:126.71,131.3 1 1
fluxcore/translate/cohere.go:133.2,133.17 1 1
fluxcore/translate/cohere.go:137.74,143.23 2 1
fluxcore/translate/cohere.go:143.23,145.3 1 1
fluxcore/translate/cohere.go:146.2,146.25 1 1
fluxcore/translate/cohere.go:146.25,148.3 1 1
fluxcore/translate/cohere.go:149.2,149.18 1 1
fluxcore/translate/cohere.go:149.18,151.3 1 1
fluxcore/translate/cohere.go:152.2,152.16 1 1
fluxcore/translate/cohere.go:152.16,154.3 1 1
fluxcore/translate/cohere.go:157.2,157.35 1 1
fluxcore/translate/cohere.go:157.35,158.51 1 1
fluxcore/translate/cohere.go:158.51,159.62 1 1
fluxcore/translate/cohere.go:159.62,160.53 1 1
fluxcore/translate/cohere.go:160.53,162.6 1 1
fluxcore/translate/cohere.go:164.4,164.9 1 1
fluxcore/translate/cohere.go:169.2,172.35 3 1
fluxcore/translate/cohere.go:172.35,173.27 1 1
fluxcore/translate/cohere.go:173.27,174.12 1 1
fluxcore/translate/cohere.go:177.3,178.26 2 1
fluxcore/translate/cohere.go:178.26,180.4 1 1
fluxcore/translate/cohere.go:180.9,180.28 1 1
fluxcore/translate/cohere.go:180.28,182.4 1 1
fluxcore/translate/cohere.go:185.3,186.33 2 1
fluxcore/translate/cohere.go:186.33,187.24 1 1
fluxcore/translate/cohere.go:187.24,188.37 1 1
fluxcore/translate/cohere.go:188.37,190.6 1 1
fluxcore/translate/cohere.go:194.3,194.17 1 1
fluxcore/translate/cohere.go:194.17,195.12 1 0
fluxcore/translate/cohere.go:199.3,199.53 1 1
fluxcore/translate/cohere.go:199.53,201.4 1 1
fluxcore/translate/cohere.go:201.9,206.4 1 1
fluxcore/translate/cohere.go:209.2,210.26 2 1
fluxcore/translate/cohere.go:210.26,212.3 1 1
fluxcore/translate/cohere.go:214.2,214.26 1 1
fluxcore/translate/cohere.go:218.85,220.51 2 1
fluxcore/translate/cohere.go:220.51,222.3 1 0
fluxcore/translate/cohere.go:224.2,227.42 2 1
fluxcore/translate/cohere.go:227.42,235.3 1 1
fluxcore/translate/cohere.go:238.2,238.59 1 1
fluxcore/translate/cohere.go:238.59,240.3 1 1
fluxcore/translate/cohere.go:243.2,243.58 1 1
fluxcore/translate/cohere.go:243.58,245.9 2 1
fluxcore/translate/cohere.go:245.9,247.62 2 1
fluxcore/translate/cohere.go:247.62,249.5 1 1
fluxcore/translate/cohere.go:250.4,250.64 1 1
fluxcore/translate/cohere.go:250.64,252.5 1 1
fluxcore/translate/cohere.go:253.4,253.30 1 1
fluxcore/translate/cohere.go:258.2,258.71 1 1
fluxcore/translate/cohere.go:258.71,259.24 1 0
fluxcore/translate/cohere.go:259.24,261.4 1 0
fluxcore/translate/cohere.go:262.3,262.60 1 0
fluxcore/translate/cohere.go:262.60,264.4 1 0
fluxcore/translate/cohere.go:265.3,265.62 1 0
fluxcore/translate/cohere.go:265.62,267.4 1 0
fluxcore/translate/cohere.go:268.3,268.29 1 0
fluxcore/translate/cohere.go:271.2,271.18 1 1
fluxcore/translate/cohere.go:275.77,279.27 3 1
fluxcore/translate/cohere.go:279.27,280.53 1 1
fluxcore/translate/cohere.go:280.53,281.24 1 1
fluxcore/translate/cohere.go:281.24,282.37 1 1
fluxcore/translate/cohere.go:282.37,284.6 1 1
fluxcore/translate/cohere.go:287.3,287.46 1 1
fluxcore/translate/cohere.go:290.2,296.23 2 1
fluxcore/translate/cohere.go:296.23,301.3 1 1
fluxcore/translate/cohere.go:303.2,303.26 1 1
fluxcore/translate/cohere.go:307.47,309.59 2 1
fluxcore/translate/cohere.go:309.59,311.3 1 0
fluxcore/translate/cohere.go:314.2,314.89 1 1
fluxcore/translate/cohere.go:314.89,316.3 1 0
fluxcore/translate/cohere.go:318.2,333.28 2 1
fluxcore/translate/cohere.go:333.28,335.25 2 1
fluxcore/translate/cohere.go:335.25,337.4 1 0
fluxcore/translate/cohere.go:338.3,338.48 1 1
fluxcore/translate/cohere.go:341.2,341.35 1 1
fluxcore/translate/cohere.go:341.35,346.3 1 1
fluxcore/translate/cohere.go:348.2,349.49 2 1
fluxcore/translate/cohere.go:353.62,354.29 1 1
fluxcore/translate/cohere.go:354.29,356.3 1 0
fluxcore/translate/cohere.go:358.2,362.41 3 1
fluxcore/translate/cohere.go:362.41,363.23 1 1
fluxcore/translate/cohere.go:363.23,364.36 1 1
fluxcore/translate/cohere.go:364.36,366.5 1 1
fluxcore/translate/cohere.go:370.2,375.32 2 1
fluxcore/translate/cohere.go:375.32,379.3 3 0
fluxcore/translate/cohere.go:381.2,381.24 1 1
fluxcore/translate/cohere.go:381.24,386.3 1 0
fluxcore/translate/cohere.go:388.2,389.49 2 1
fluxcore/translate/cohere.go:393.66,395.54 2 0
fluxcore/translate/cohere.go:395.54,397.3 1 0
fluxcore/translate/cohere.go:400.2,400.79 1 0
fluxcore/translate/cohere.go:400.79,402.3 1 0
fluxcore/translate/cohere.go:404.2,408.23 2 0
fluxcore/translate/cohere.go:408.23,418.3 1 0
fluxcore/translate/cohere.go:420.2,420.23 1 0
fluxcore/translate/cohere.go:420.23,422.25 2 0
fluxcore/translate/cohere.go:422.25,424.4 1 0
fluxcore/translate/cohere.go:425.3,425.30 1 0
fluxcore/translate/cohere.go:425.30,427.4 1 0
fluxcore/translate/cohere.go:428.3,428.48 1 0
fluxcore/translate/cohere.go:431.2,431.30 1 0
fluxcore/translate/cohere.go:431.30,436.3 1 0
fluxcore/translate/cohere.go:438.2,438.19 1 0
fluxcore/translate/gemini.go:10.13,12.2 1 1
fluxcore/translate/gemini.go:75.78,77.59 2 1
fluxcore/translate/gemini.go:77.59,79.3 1 0
fluxcore/translate/gemini.go:81.2,84.68 2 1
fluxcore/translate/gemini.go:84.68,85.59 1 1
fluxcore/translate/gemini.go:85.59,87.4 1 1
fluxcore/translate/gemini.go:88.3,88.50 1 1
fluxcore/translate/gemini.go:88.50,90.4 1 1
fluxcore/translate/gemini.go:91.3,91.43 1 1
fluxcore/translate/gemini.go:91.43,93.4 1 1
fluxcore/translate/gemini.go:97.2,97.69 1 1
fluxcore/translate/gemini.go:97.69,98.51 1 1
fluxcore/translate/gemini.go:98.51,100.28 2 1
fluxcore/translate/gemini.go:100.28,101.49 1 1
fluxcore/translate/gemini.go:101.49,102.45 1 1
fluxcore/translate/gemini.go:102.45,104.7 1 1
fluxcore/translate/gemini.go:107.4,107.24 1 1
fluxcore/translate/gemini.go:107.24,112.5 1 1
fluxcore/translate/gemini.go:118.2,118.57 1 1
fluxcore/translate/gemini.go:118.57,119.30 1 1
fluxcore/translate/gemini.go:119.30,121.11 2 1
fluxcore/translate/gemini.go:121.11,122.13 1 0
fluxcore/translate/gemini.go:125.4,127.23 2 1
fluxcore/translate/gemini.go:127.23,129.5 1 1
fluxcore/translate/gemini.go:131.4,132.57 2 1
fluxcore/translate/gemini.go:132.57,133.29 1 1
fluxcore/translate/gemini.go:133.29,134.50 1 1
fluxcore/translate/gemini.go:134.50,135.46 1 1
fluxcore/translate/gemini.go:135.46,137.8 1 1
fluxcore/translate/gemini.go:142.4,145.6 1 1
fluxcore/translate/gemini.go:149.2,149.17 1 1
fluxcore/translate/gemini.go:153.74,160.23 3 1
fluxcore/translate/gemini.go:160.23,162.3 1 1
fluxcore/translate/gemini.go:163.2,163.25 1 1
fluxcore/translate/gemini.go:163.25,165.3 1 1
fluxcore/translate/gemini.go:166.2,166.18 1 1
fluxcore/translate/gemini.go:166.18,168.3 1 1
fluxcore/translate/gemini.go:169.2,169.17 1 1
fluxcore/translate/gemini.go:169.17,171.3 1 1
fluxcore/translate/gemini.go:174.2,174.35 1 1
fluxcore/translate/gemini.go:174.35,175.51 1 1
fluxcore/translate/gemini.go:175.51,177.34 2 1
fluxcore/translate/gemini.go:177.34,178.25 1 1
fluxcore/translate/gemini.go:178.25,179.41 1 1
fluxcore/translate/gemini.go:179.41,181.7 1 1
fluxcore/translate/gemini.go:184.4,184.22 1 1
fluxcore/translate/gemini.go:184.22,186.5 1 1
fluxcore/translate/gemini.go:187.4,187.9 1 1
fluxcore/translate/gemini.go:192.2,193.35 2 1
fluxcore/translate/gemini.go:193.35,194.27 1 1
fluxcore/translate/gemini.go:194.27,195.12 1 1
fluxcore/translate/gemini.go:198.3,199.26 2 1
fluxcore/translate/gemini.go:199.26,201.4 1 1
fluxcore/translate/gemini.go:203.3,204.33 2 1
fluxcore/translate/gemini.go:204.33,205.24 1 1
fluxcore/translate/gemini.go:205.24,206.40 1 1
fluxcore/translate/gemini.go:206.40,208.6 1 1
fluxcore/translate/gemini.go:212.3,212.21 1 1
fluxcore/translate/gemini.go:212.21,217.4 1 1
fluxcore/translate/gemini.go:219.2,221.26 2 1
fluxcore/translate/gemini.go:225.85,227.51 2 1
fluxcore/translate/gemini.go:227.51,229.3 1 0
fluxcore/translate/gemini.go:231.2,234.61 2 1
fluxcore/translate/gemini.go:234.61,235.32 1 1
fluxcore/translate/gemini.go:235.32,237.11 2 1
fluxcore/translate/gemini.go:237.11,238.13 1 0
fluxcore/translate/gemini.go:241.4,245.28 4 1
fluxcore/translate/gemini.go:245.28,246.49 1 1
fluxcore/translate/gemini.go:246.49,247.45 1 1
fluxcore/translate/gemini.go:247.45,249.7 1 1
fluxcore/translate/gemini.go:253.4,264.6 2 1
fluxcore/translate/gemini.go:269.2,269.68 1 1
fluxcore/translate/gemini.go:269.68,271.56 2 1
fluxcore/translate/gemini.go:271.56,273.4 1 1
fluxcore/translate/gemini.go:274.3,274.60 1 1
fluxcore/translate/gemini.go:274.60,276.4 1 1
fluxcore/translate/gemini.go:277.3,277.29 1 1
fluxcore/translate/gemini.go:280.2,280.18 1 1
fluxcore/translate/gemini.go:284.77,287.38 2 1
fluxcore/translate/gemini.go:287.38,289.44 2 1
fluxcore/translate/gemini.go:289.44,290.24 1 1
fluxcore/translate/gemini.go:290.24,291.40 1 1
fluxcore/translate/gemini.go:291.40,293.6 1 1
fluxcore/translate/gemini.go:297.3,304.5 1 1
fluxcore/translate/gemini.go:307.2,311.23 2 1
fluxcore/translate/gemini.go:311.23,317.3 1 1
fluxcore/translate/gemini.go:319.2,319.26 1 1
fluxcore/translate/gemini.go:323.47,325.59 2 1
fluxcore/translate/gemini.go:325.59,327.3 1 0
fluxcore/translate/gemini.go:329.2,329.38 1 1
fluxcore/translate/gemini.go:329.38,331.3 1 0
fluxcore/translate/gemini.go:333.2,337.47 3 1
fluxcore/translate/gemini.go:337.47,338.22 1 1
fluxcore/translate/gemini.go:338.22,340.4 1 1
fluxcore/translate/gemini.go:343.2,358.34 2 1
fluxcore/translate/gemini.go:358.34,360.3 1 0
fluxcore/translate/gemini.go:362.2,362.38 1 1
fluxcore/translate/gemini.go:362.38,367.3 1 0
fluxcore/translate/gemini.go:369.2,370.49 2 1
fluxcore/translate/gemini.go:374.62,375.29 1 1
fluxcore/translate/gemini.go:375.29,377.3 1 0
fluxcore/translate/gemini.go:379.2,383.41 3 1
fluxcore/translate/gemini.go:383.41,384.23 1 1
fluxcore/translate/gemini.go:384.23,385.39 1 1
fluxcore/translate/gemini.go:385.39,387.5 1 1
fluxcore/translate/gemini.go:391.2,403.32 2 1
fluxcore/translate/gemini.go:403.32,406.3 2 0
fluxcore/translate/gemini.go:408.2,408.24 1 1
fluxcore/translate/gemini.go:408.24,413.3 1 0
fluxcore/translate/gemini.go:415.2,416.49 2 1
fluxcore/translate/gemini.go:420.66,422.54 2 0
fluxcore/translate/gemini.go:422.54,424.3 1 0
fluxcore/translate/gemini.go:426.2,430.32 2 0
fluxcore/translate/gemini.go:430.32,433.40 3 0
fluxcore/translate/gemini.go:433.40,434.23 1 0
fluxcore/translate/gemini.go:434.23,436.5 1 0
fluxcore/translate/gemini.go:438.3,447.27 2 0
fluxcore/translate/gemini.go:447.27,449.4 1 0
fluxcore/translate/gemini.go:452.2,452.33 1 0
fluxcore/translate/gemini.go:452.33,457.3 1 0
fluxcore/translate/gemini.go:459.2,459.19 1 0
fluxcore/translate/sse.go:20.61,22.2 1 1
fluxcore/translate/sse.go:25.48,27.2 1 1
fluxcore/translate/sse.go:56.120,59.12 2 1
fluxcore/translate/sse.go:59.12,67.7 6 1
fluxcore/translate/sse.go:67.7,68.11 1 1
fluxcore/translate/sse.go:69.22,72.11 3 1
fluxcore/translate/sse.go:73.12,73.12 0 1
fluxcore/translate/sse.go:76.4,77.13 2 1
fluxcore/translate/sse.go:77.13,85.39 6 1
fluxcore/translate/sse.go:85.39,88.33 3 1
fluxcore/translate/sse.go:88.33,90.7 1 1
fluxcore/translate/sse.go:94.4,94.22 1 1
fluxcore/translate/sse.go:94.22,95.26 1 1
fluxcore/translate/sse.go:95.26,98.6 2 0
fluxcore/translate/sse.go:99.5,101.11 3 1
fluxcore/translate/sse.go:106.2,106.11 1 1
fluxcore/translate/sse.go:109.102,112.39 2 1
fluxcore/translate/sse.go:112.39,115.26 2 1
fluxcore/translate/sse.go:115.26,122.4 3 1
fluxcore/translate/sse.go:124.3,125.20 2 1
fluxcore/translate/sse.go:125.20,127.18 2 0
fluxcore/translate/sse.go:127.18,131.5 3 0
fluxcore/translate/sse.go:132.4,132.20 1 0
fluxcore/translate/sse.go:132.20,134.5 1 0
fluxcore/translate/sse.go:135.4,141.26 2 0
fluxcore/translate/sse.go:141.26,145.5 3 0
fluxcore/translate/sse.go:146.9,149.66 2 1
fluxcore/translate/sse.go:149.66,153.5 3 1
fluxcore/translate/sse.go:154.4,160.26 2 1
fluxcore/translate/sse.go:160.26,164.5 3 1
fluxcore/translate/sse.go:166.8,166.47 1 1
fluxcore/translate/sse.go:166.47,171.3 1 1
fluxcore/translate/sse.go:173.2,173.15 1 1
fluxcore/translate/sse.go:191.52,191.110 1 1
fluxcore/translate/sse.go:197.74,198.28 1 1
fluxcore/translate/sse.go:198.28,199.32 1 1
fluxcore/translate/sse.go:199.32,201.4 1 1
fluxcore/translate/sse.go:201.9,201.40 1 0
fluxcore/translate/sse.go:201.40,203.4 1 0
fluxcore/translate/sse.go:204.3,204.13 1 0
fluxcore/translate/sse.go:207.2,207.31 1 1
fluxcore/translate/sse.go:207.31,209.3 1 0
fluxcore/translate/sse.go:212.2,212.26 1 1
fluxcore/translate/sse.go:212.26,213.64 1 1
fluxcore/translate/sse.go:213.64,215.4 1 1
fluxcore/translate/sse.go:216.3,216.13 1 0
fluxcore/translate/sse.go:220.2,220.28 1 1
fluxcore/translate/sse.go:220.28,221.65 1 1
fluxcore/translate/sse.go:221.65,223.4 1 1
fluxcore/translate/sse.go:224.3,224.13 1 0
fluxcore/translate/sse.go:228.2,231.36 3 0
fluxcore/translate/sse.go:231.36,233.3 1 0
fluxcore/translate/sse.go:236.2,236.24 1 0
fluxcore/translate/sse.go:236.24,238.3 1 0
fluxcore/translate/sse.go:241.2,241.23 1 0
fluxcore/translate/sse.go:241.23,242.89 1 0
fluxcore/translate/sse.go:242.89,244.31 1 0
fluxcore/translate/sse.go:244.31,246.5 1 0
fluxcore/translate/sse.go:247.4,247.34 1 0
fluxcore/translate/sse.go:251.2,251.12 1 0
fluxcore/translate/sse.go:255.50,256.22 1 1
fluxcore/translate/sse.go:256.22,258.3 1 0
fluxcore/translate/sse.go:259.2,260.27 2 1
fluxcore/translate/sse.go:260.27,262.3 1 1
fluxcore/translate/sse.go:263.2,263.28 1 1
fluxcore/translate/sse.go:267.119,269.23 2 0
fluxcore/translate/sse.go:269.23,271.3 1 0
fluxcore/translate/sse.go:273.2,277.64 4 0
fluxcore/translate/sse.go:277.64,279.3 1 0
fluxcore/translate/sse.go:281.2,281.27 1 0
fluxcore/translate/sse.go:285.75,287.23 2 0
fluxcore/translate/sse.go:287.23,289.3 1 0
fluxcore/translate/sse.go:291.2,295.64 4 0
fluxcore/translate/sse.go:295.64,297.3 1 0
fluxcore/translate/sse.go:299.2,299.61 1 0
fluxcore/translate/sse.go:302.66,303.20 1 1
fluxcore/translate/sse.go:304.19,305.36 1 1
fluxcore/translate/sse.go:306.20,307.45 1 1
fluxcore/translate/sse.go:308.19,309.56 1 1
fluxcore/translate/sse.go:311.2,311.12 1 0
